District,former_german_partition,former_russian_partition,former_ah_partition,distance_to_german_border,distance_to_russian_border,distance_to_AH_border
SKIERNIEWICKI,False,True,False,137.00243814450693,137.00243814450693,175.3127397571686
SOCHACZEWSKI,False,True,False,94.64417690563508,94.64417690563508,205.94625930295734
SOKALSKI,False,False,True,363.2557944722228,16.602860378693094,16.602860378693094
SOKOŁOWSKI,False,True,False,140.3997214193819,140.3997214193819,197.58189306939323
SOKÓLSKI,False,True,False,184.77250014584493,184.77250014584493,313.5047006461558
SOSNOWIEC,False,True,False,16.92875617758247,1.1425145853062684,1.1425145853062684
STANISŁAWOWSKI,False,False,True,435.4706011294486,116.6281656885755,116.6281656885755
STAROGARDZKI,True,False,False,93.43376556767248,93.43376556767248,397.1331640891099
STOLIŃSKI,False,True,False,458.0675457415521,213.87695842488378,213.87695842488378
STOPNICKI,False,True,False,127.5761135193159,26.26710057242024,26.26710057242024
STOŁPECKI,False,True,False,389.8286065615782,365.86771421621563,365.86771421621563
STRYJSKI,False,False,True,361.49572022785816,142.965246882292,142.965246882292
SUWALSKI,False,True,False,183.57392790836022,183.57392790836022,387.680654116109
SZAMOTULSKI,True,False,False,106.43927920044261,106.43927920044261,313.3346543800467
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),False,True,False,123.62370633129987,123.62370633129987,318.8171952605978
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),False,True,False,273.2081425255101,273.2081425255101,337.92335064505943
SZUBIŃSKI,True,False,False,57.53081003000846,57.53081003000846,311.8951231170457
SĘPOLEŃSKI,True,False,False,94.14296287445747,94.14296287445747,363.6161947809535
SŁONIMSKI,False,True,False,304.62929375905196,286.0788474805693,286.0788474805693
TARNOBRZESKI,False,False,True,192.85420736441046,7.984712733314653,7.984712733314653
TARNOGÓRSKI,True,False,False,8.561528793817656,8.561528793817656,20.975375775870816
TARNOPOLSKI,False,False,True,474.42667930563414,28.93953326349144,28.93953326349144
TARNOWSKI,False,False,True,149.7738884720181,31.8464028429028,31.8464028429028
TCZEWSKI,True,False,False,94.73874003159014,94.73874003159014,405.68582562665785
TOMASZOWSKI,False,True,False,312.72016511609615,7.1850635577175375,7.1850635577175375
TORUŃ (MIASTO),True,False,False,11.224283047332934,11.224283047332934,304.01330452011695
TORUŃSKI,True,False,False,15.999470176840921,15.999470176840921,310.915158870131
TREMBOWELSKI,False,False,True,491.84118572491457,55.834690401617884,55.834690401617884
TUCHOLSKI,True,False,False,86.89374539901682,86.89374539901682,373.70389389230394
TURCZAŃSKI,False,False,True,318.1429107146315,127.79909933189931,127.79909933189931
TURECKI,False,True,False,47.9760087586653,47.9760087586653,182.14195520277198
TŁUMACKI,False,False,True,461.6740445226008,116.36277659607508,116.36277659607508
WADOWICKI,False,False,True,70.75186752901195,41.60579748024956,41.60579748024956
WARSZAWSKI,False,True,False,105.17114516640436,105.17114516640436,182.5523405533991
WIELUŃSKI,False,True,False,26.053585104432734,26.053585104432734,109.29232990860758
WILEJSKI,False,True,False,440.5497576648823,440.5497576648823,478.3209821370425
WILEŃSKO-TROCKI,False,True,False,336.403597427702,336.403597427702,445.94581067663006
WILNO (MIASTO),False,True,False,340.0943315357701,340.0943315357701,455.1971738991126
WOLSZTYŃSKI,True,False,False,106.55575695473507,106.55575695473507,275.35147660534807
WOŁKOWYSKI,False,True,False,248.22213587505405,248.22213587505405,265.1889967643555
WOŁOŻYŃSKI,False,True,False,383.295276217992,383.295276217992,403.3211288398292
WRZESIŃSKI,True,False,False,16.140407069211804,16.140407069211804,240.78046011955894
WYRZYSKI,True,False,False,89.07962677223907,89.07962677223907,342.680043480393
WYSOKOMAZOWIECKI,False,True,False,135.1507087724548,135.1507087724548,252.79053777335042
WĄBRZESKI,True,False,False,15.237757982790999,15.237757982790999,325.1156279300136
WĄGROWIECKI,True,False,False,71.70062371240553,71.70062371240553,304.3264162284586
WĘGROWSKI,False,True,False,122.59671042504135,122.59671042504135,191.9322698138216
WŁOCŁAWSKI,False,True,False,39.29351242030412,39.29351242030412,246.4145108182556
WŁODAWSKI,False,True,False,258.4632006803473,113.06394549616316,113.06394549616316
WŁODZIMIERSKI,False,True,False,364.17631634868144,24.15754648959802,24.15754648959802
WŁOSZCZOWSKI,False,True,False,56.5388576882617,56.5388576882617,63.14548124037214
